STT,Loại,ID,Tên cột,Nội dung
1,Text,"banner","text_banner",""
2,Text,"about","groom_name","Cô dâu và Chú rể"
3,Text,"time-line","love_text","Love Story"
4,Text,"album","album_title","ALBUM ẢNH"
5,Text,"invitation","text_invitation","Hôn lễ"
6,Text,"dresscode","text_dresscode","Quy tắc trang phục"
7,Text,"countdown-secton","text_countdown-secton","CÙNG ĐẾM NGƯỢC THỜI GIAN"
8,Text,"form","text_form","Giây"
9,Text,"form-wedding","confirm_button","Xác nhận tham dự"
10,Text,"nha_trai","bride_family","THÀNH HÔN NHÀ GÁI"
11,Text,"f_name","text_f_name","Tên Khách Mời"
12,Text,"wedding-select","text_wedding-select","Có tôi sẽ đến"
13,Text,"f_text","confirm_button_2","Xác nhận"
14,Text,"message","text_message",""
15,Text,"messageForm","send_button","Gửi lời chúc"
16,Text,"postId","send_button_2","Gửi lời chúc"
17,Text,"m_text","send_button_3","Lời nhắn gửi"
18,Text,"gift","text_gift","console.error('Error:', error)); });"
19,Image,"box-gift","image_box-gift",""
20,Image,"gift-container","image_gift-container",""
21,Text,"text","text_text",""
22,Text,"thankyou","text_thankyou",""
23,Text,"eJOY__extension_ai_adv_root","text_ejoy__extension_ai_adv_root",""
24,Text,"mask0_427_34","text_mask0_427_34",""
25,Text,"mask1_427_34","text_mask1_427_34",""
26,Text,"mask2_427_34","text_mask2_427_34",""
27,Text,"eJOY__extension_root","text_ejoy__extension_root","0 / 10"
28,Text,"eJOY__extension_shadow","text_ejoy__extension_shadow",""
