STT,Loại,ID,Tên cột,Nội dung
1,Image,"background-music","image_background-music",""
2,Image,"music-toggle","image_music-toggle",""
3,Image,"play-icon","image_play-icon",""
4,Image,"pause-icon","image_pause-icon",""
5,Text,"shape_BBjQGZyHmQ","text_shape_bbjqgzyhmq","Freepik"
6,Text,"shape_BRmPslPLsm","text_shape_brmpslplsm",""
7,Text,"shape_NcoRPQHKID","text_shape_ncorpqhkid",""
8,Text,"SECTION1","text_section1","Quốc Hưng &amp; Tường Vi"
9,Image,"IMAGE2","image_2",""
10,Text,"HEADLINE3","headline_3","Quốc Hưng &amp; Tường Vi"
11,Text,"HEADLINE4","headline_4","Quốc Hưng &amp; Tường Vi"
12,Text,"LINE1","wedding_party","THƯ MỜI TIỆC CƯỚI"
13,Text,"HEADLINE5","wedding_party_2","THƯ MỜI TIỆC CƯỚI"
14,Text,"HEADLINE6","weekday","THỨ TƯ - 18:00"
15,Text,"LINE2","weekday_2","THỨ TƯ - 18:00"
16,Text,"HEADLINE7","headline_7","04 . 06 . 2025"
17,Text,"HEADLINE8","event_year","THỨ NĂM - 10:30"
18,Text,"HEADLINE30","event_year_2","THỨ NĂM - 10:30"
19,Text,"NOTIFY1","text_notify1","05 . 06 . 2025"
20,Text,"PARAGRAPH1","text_1","Bạn Dâu Rể"
21,Image,"IMAGE3","image_3",""
22,Image,"IMAGE5","image_5",""
23,Text,"GROUP1","groom_family","NHÀ TRAI"
24,Text,"HEADLINE9","groom_family_2","NHÀ TRAI"
25,Text,"PARAGRAPH2","groom_family_3","NHÀ TRAI"
26,Text,"GROUP2","text_group2","Khu 1, Xã Sơn Cương,"
27,Text,"HEADLINE10","headline_10","Khu 1, Xã Sơn Cương,"
28,Text,"PARAGRAPH3","bride_family","NHÀ GÁI"
29,Text,"GROUP3","text_group3","Xóm Láu Ráy, Xã Bình Sơn,"
30,Text,"HEADLINE11","headline_11","Xóm Láu Ráy, Xã Bình Sơn,"
31,Text,"HEADLINE12","groom_name","Chú Rể"
32,Text,"GROUP4","groom_name_2","Chú Rể"
33,Text,"HEADLINE13","headline_13","Quốc Hưng"
34,Text,"HEADLINE14","bride_name","Cô Dâu"
35,Text,"SECTION3","bride_name_2","Cô Dâu"
36,Text,"LINE3","text_line3","Tường Vi"
37,Text,"HEADLINE15","headline_15","Thư Mời"
38,Text,"HEADLINE21","headline_21","Thư Mời"
39,Text,"PARAGRAPH5","text_5","Thư Mời"
40,Image,"IMAGE6","image_6",""
41,Image,"IMAGE7","image_7",""
42,Image,"IMAGE8","image_8",""
43,Text,"SECTION4","bride_family_2","TIỆC CƯỚI NHÀ GÁI"
44,Text,"GROUP37","bride_family_3","TIỆC CƯỚI NHÀ GÁI"
45,Text,"GROUP8","bride_family_4","TIỆC CƯỚI NHÀ GÁI"
46,Text,"BOX3","bride_family_5","TIỆC CƯỚI NHÀ GÁI"
47,Text,"HEADLINE24","bride_family_6","TIỆC CƯỚI NHÀ GÁI"
48,Text,"GROUP9","bride_family_7","TIỆC CƯỚI NHÀ GÁI"
49,Text,"HEADLINE25","bride_family_8","TIỆC CƯỚI NHÀ GÁI"
50,Text,"HEADLINE26","weekday_3","THỨ 4 I 17:00"
51,Text,"HEADLINE27","headline_27","04 . 06 . 2025"
52,Text,"GROUP10","event_date","(Tức ngày 09 Tháng 05 Năm Ất Tỵ)"
53,Text,"HEADLINE28","event_date_2","(Tức ngày 09 Tháng 05 Năm Ất Tỵ)"
54,Text,"HEADLINE29","bride_family_9","Tại Tư Gia Nhà Gái"
55,Text,"BUTTON4","button_4","Xóm Láu Ráy, Xã Bình Sơn,"
56,Text,"BUTTON_TEXT4","confirm_button","XÁC NHẬN THAM DỰ"
57,Text,"BUTTON5","confirm_button_2","XÁC NHẬN THAM DỰ"
58,Text,"BUTTON_TEXT5","send_button","GỬI MỪNG CƯỚI"
59,Text,"GROUP35","send_button_2","GỬI MỪNG CƯỚI"
60,Text,"BOX13","send_button_3","GỬI MỪNG CƯỚI"
61,Text,"GROUP36","text_group36",""
62,Text,"COUNTDOWN2","text_countdown2",""
63,Text,"COUNTDOWN_ITEM5","text_countdown_item5",""
64,Text,"COUNTDOWN_ITEM6","text_countdown_item6",""
65,Text,"COUNTDOWN_ITEM7","event_date_3","Ngày"
66,Text,"COUNTDOWN_ITEM8","event_date_4","Ngày"
67,Text,"PARAGRAPH45","event_date_5","Ngày"
68,Text,"PARAGRAPH46","event_date_6","Ngày"
69,Text,"PARAGRAPH47","event_date_7","Ngày"
70,Text,"PARAGRAPH48","event_time","Giờ"
71,Text,"GROUP7","text_group7","Phút"
72,Text,"BOX2","text_box2","Giây"
73,Text,"HEADLINE16","groom_family_4","TIỆC CƯỚI NHÀ TRAI"
74,Text,"GROUP5","groom_family_5","TIỆC CƯỚI NHÀ TRAI"
75,Text,"HEADLINE17","groom_family_6","TIỆC CƯỚI NHÀ TRAI"
76,Text,"HEADLINE19","weekday_4","THỨ 4 I 18:00"
77,Text,"HEADLINE22","headline_22","04 . 06 . 2025"
78,Text,"GROUP6","event_date_8","(Tức ngày 09 Tháng 05 Năm Ất Tỵ)"
79,Text,"HEADLINE20","event_date_9","(Tức ngày 09 Tháng 05 Năm Ất Tỵ)"
80,Text,"HEADLINE23","groom_family_7","Tại Tư Gia Nhà Trai"
81,Text,"BUTTON2","button_2","Khu 1, Xã Sơn Cương,"
82,Text,"BUTTON_TEXT2","confirm_button_3","XÁC NHẬN THAM DỰ"
83,Text,"BUTTON3","confirm_button_4","XÁC NHẬN THAM DỰ"
84,Text,"BUTTON_TEXT3","send_button_4","GỬI MỪNG CƯỚI"
85,Text,"GROUP38","send_button_5","GỬI MỪNG CƯỚI"
86,Text,"BOX17","send_button_6","GỬI MỪNG CƯỚI"
87,Text,"GROUP39","text_group39",""
88,Text,"COUNTDOWN3","text_countdown3",""
89,Text,"COUNTDOWN_ITEM9","text_countdown_item9",""
90,Text,"COUNTDOWN_ITEM10","text_countdown_item10",""
91,Text,"COUNTDOWN_ITEM11","event_date_10","Ngày"
92,Text,"COUNTDOWN_ITEM12","event_date_11","Ngày"
93,Text,"PARAGRAPH49","event_date_12","Ngày"
94,Text,"PARAGRAPH50","event_date_13","Ngày"
95,Text,"PARAGRAPH51","event_date_14","Ngày"
96,Text,"PARAGRAPH52","event_time_2","Giờ"
97,Text,"SECTION5","text_section5","Phút"
98,Text,"LINE4","text_line4","Giây"
99,Text,"GROUP11","marriage_ceremony","LỄ THÀNH HÔN"
100,Text,"HEADLINE31","marriage_ceremony_2","LỄ THÀNH HÔN"
101,Text,"HEADLINE32","marriage_ceremony_3","LỄ THÀNH HÔN"
102,Text,"HEADLINE33","marriage_ceremony_4","LỄ THÀNH HÔN"
103,Text,"HEADLINE34","event_year_3","Vào Thứ Năm - 10:30"
104,Text,"HEADLINE35","event_month","Tháng 6"
105,Text,"LINE5","text_line5","2025"
106,Text,"LINE6","text_line6","2025"
107,Text,"HEADLINE36","event_date_15","(Tức ngày 10 Tháng 05 Năm Ất Tỵ)"
108,Text,"LINE7","event_date_16","(Tức ngày 10 Tháng 05 Năm Ất Tỵ)"
109,Text,"GROUP12","event_date_17","(Tức ngày 10 Tháng 05 Năm Ất Tỵ)"
110,Text,"HEADLINE37","headline_37","Lễ Rước Dâu"
111,Text,"HEADLINE38","headline_38","Lễ Rước Dâu"
112,Text,"HEADLINE39","headline_39","Lễ Rước Dâu"
113,Text,"HEADLINE40","event_year_4","Vào Thứ Năm - 10:30"
114,Text,"HEADLINE41","event_month_2","Tháng 6"
115,Text,"LINE8","text_line8","2025"
116,Text,"LINE9","text_line9","2025"
117,Text,"HEADLINE42","event_date_18","(Tức ngày 10 Tháng 05 Năm Ất Tỵ)"
118,Text,"LINE10","event_date_19","(Tức ngày 10 Tháng 05 Năm Ất Tỵ)"
119,Text,"PARAGRAPH67","text_67",""
120,Text,"PARAGRAPH59","text_59",""
121,Text,"PARAGRAPH60","text_60",""
122,Text,"PARAGRAPH61","text_61",""
123,Text,"PARAGRAPH62","text_62",""
124,Text,"PARAGRAPH63","text_63",""
125,Text,"SHAPE27","text_shape27",""
126,Text,"PARAGRAPH64","text_64",""
127,Text,"PARAGRAPH65","text_65",""
128,Text,"PARAGRAPH66","text_66",""
129,Text,"HEADLINE90","event_month_3","Tháng 6/2025"
130,Text,"LINE16","event_month_4","Tháng 6/2025"
131,Text,"LINE17","event_month_5","Tháng 6/2025"
132,Text,"HEADLINE91","weekday_5","Thứ 2"
133,Text,"HEADLINE92","weekday_6","Thứ 2"
134,Text,"HEADLINE93","weekday_7","Thứ 2"
135,Text,"HEADLINE94","weekday_8","Thứ 3"
