STT,Loại,ID,Tên cột,Nội dung
1,Text,"banner","save_text","Save"
2,Text,"name","text_name","Thành Trung"
3,Text,"about","text_about","2024"
4,Text,"time-line","love_text","Love Story"
5,Text,"album","text_album","Thành hôn"
6,Text,"invitation","text_invitation","Hôn lễ"
7,Text,"dresscode","text_dresscode","Quy tắc trang phục"
8,Text,"countdown-secton","text_countdown-secton","CÙNG ĐẾM NGƯỢC THỜI GIAN"
9,Text,"message","text_message","Giây"
10,Text,"messageForm","send_button","Gửi lời chúc"
11,Text,"postId","send_button_2","Gửi lời chúc"
12,Text,"m_text","send_button_3","Lời nhắn gửi"
13,Text,"form","text_form","console.error('Error:', error)); });"
14,Text,"form-wedding","confirm_button","Xác nhận tham dự"
15,Text,"nha_trai","bride_family","THÀNH HÔN NHÀ GÁI"
16,Text,"f_name","text_f_name","Tên Khách Mời"
17,Text,"wedding-select","text_wedding-select","Có tôi sẽ đến"
18,Text,"f_text","confirm_button_2","Xác nhận"
19,Text,"gift","groom_name","Gửi quà đến cô dâu và chú rể"
20,Image,"box-gift","image_box-gift",""
21,Image,"gift-container","image_gift-container",""
22,Text,"thankyou","text_thankyou",""
23,Text,"eJOY__extension_ai_adv_root","text_ejoy__extension_ai_adv_root",""
24,Text,"mask0_427_34","text_mask0_427_34",""
25,Text,"mask1_427_34","text_mask1_427_34",""
26,Text,"mask2_427_34","text_mask2_427_34",""
27,Text,"eJOY__extension_root","text_ejoy__extension_root","0 / 10"
28,Text,"eJOY__extension_shadow","text_ejoy__extension_shadow",""
