STT,Loại,ID,Tên cột,Nội dung
1,Text,"musicToggle","text_musictoggle",""
2,Text,"musicIcon","text_musicicon",""
3,Text,"display-weekday","text_display-weekday","Chủ Nhật"
4,Text,"display-day","text_display-day","Chủ Nhật"
5,Text,"display-month-year","text_display-month-year","Chủ Nhật"
6,Text,"display-time","event_month","Tháng 12"
7,Text,"groom-time","text_groom-time","Chỉ Đường"
8,Text,"groom-date","text_groom-date","Chỉ Đường"
9,Text,"groom-weekday","text_groom-weekday","11h00"
10,Text,"groom-lunar","text_groom-lunar","11h00"
11,Text,"bride-time","text_bride-time","Chỉ Đường"
12,Text,"bride-date","text_bride-date","Chỉ Đường"
13,Text,"bride-weekday","text_bride-weekday","09h00"
14,Text,"bride-lunar","text_bride-lunar","09h00"
15,Text,"lunar-date-banner","event_date","Nhằm ngày 10 tháng 11 năm Ất Tỵ"
16,Image,"countdown-minutes","image_countdown-minutes",""
17,Text,"countdown-seconds","text_countdown-seconds","phút"
18,Text,"rsvpForm","confirm_button","Xác nhận tham dự"
19,Text,"guestName","confirm_button_2","Xác nhận tham dự"
20,Text,"cf-chl-widget-7ndc6_response","album_title","Album ảnh cưới"
21,Text,"successModal","event_date_2","Sự hiện diện của bạn làm ngày hôm"
22,Text,"successModalBackdrop","sincerely_text","Trân trọng cảm ơn"
23,Text,"successModalTitle","sincerely_text_2","Trân trọng cảm ơn"
24,Text,"successModalGuest","text_successmodalguest","Khách mời"
25,Text,"successModalSubtitle","text_successmodalsubtitle","Khách mời"
26,Text,"successModalClose","text_successmodalclose","Đừng quên:"
27,Text,"eJOY__extension_ai_adv_root","text_ejoy__extension_ai_adv_root",""
28,Text,"mask0_427_34","text_mask0_427_34",""
29,Text,"mask1_427_34","text_mask1_427_34",""
30,Text,"mask2_427_34","text_mask2_427_34",""
31,Text,"eJOY__extension_root","text_ejoy__extension_root","0 / 10"
32,Text,"eJOY__extension_shadow","text_ejoy__extension_shadow",""
33,Text,"rsvpSubmit","confirm_button_3","Gửi xác nhận"
34,Text,"countdown-days","text_countdown-days","00"
35,Text,"countdown-hours","text_countdown-hours","00"
36,Text,"countdown-minutes","text_countdown-minutes","00"
