STT,Loại,ID,Tên cột,Nội dung
1,Image,"style_element","image_style_element",""
2,Image,"background-music","image_background-music",""
3,Image,"music-toggle","image_music-toggle",""
4,Image,"play-icon","image_play-icon",""
5,Image,"pause-icon","image_pause-icon",""
6,Text,"SECTION1","text_section1","Icon by"
7,Image,"IMAGE1","image_1",""
8,Text,"GROUP78","text_group78",""
9,Text,"BOX42","text_box42",""
10,Text,"SHAPE26","text_shape26",""
11,Text,"GROUP81","text_group81",""
12,Text,"GROUP82","text_group82",""
13,Text,"BOX44","text_box44",""
14,Text,"SHAPE28","text_shape28","15.05.2025 ︱09:00"
15,Text,"HEADLINE79","headline_79","15.05.2025 ︱09:00"
16,Text,"SECTION2","text_section2","15.05.2025 ︱09:00"
17,Text,"GROUP1","text_group1","15.05.2025 ︱09:00"
18,Image,"IMAGE2","image_2",""
19,Text,"HEADLINE3","invitation_text","Trân trọng kính mời!"
20,Text,"HEADLINE21","invitation_text_2","Trân trọng kính mời!"
21,Text,"HEADLINE5","invitation_text_3","Trân trọng kính mời!"
22,Text,"HEADLINE6","and_text","Bạn và Người Thương"
23,Text,"HEADLINE11","marriage_ceremony","Lễ thành hôn"
24,Text,"GROUP3","text_group3","Sự hiện diện của bạn là niềm vinh hạnh của chúng tôi!"
25,Text,"HEADLINE7","headline_7","Sự hiện diện của bạn là niềm vinh hạnh của chúng tôi!"
26,Text,"HEADLINE8","marriage_ceremony_2","LỄ THÀNH HÔN ĐƯỢC TỔ CHỨC"
27,Text,"HEADLINE9","marriage_ceremony_3","LỄ THÀNH HÔN ĐƯỢC TỔ CHỨC"
28,Text,"HEADLINE10","headline_10","15.05.2025 ︱09:00"
29,Text,"SECTION3","text_section3","Thanh Xuân - Hà Nội"
30,Text,"HEADLINE12","headline_12","Thanh Xuân - Hà Nội"
31,Image,"IMAGE3","image_3",""
32,Image,"IMAGE4","image_4",""
33,Image,"IMAGE5","image_5",""
34,Text,"GROUP6","groom_name","Chú Rể"
35,Text,"LINE1","groom_name_2","Chú Rể"
36,Text,"HEADLINE13","groom_name_3","Chú Rể"
37,Text,"HEADLINE14","groom_name_4","Chú Rể"
38,Text,"HEADLINE15","groom_name_5","Chú Rể"
39,Image,"IMAGE6","image_6",""
40,Image,"IMAGE7","image_7",""
41,Text,"GROUP7","bride_name","Cô Dâu"
42,Text,"LINE3","bride_name_2","Cô Dâu"
43,Text,"HEADLINE16","bride_name_3","Cô Dâu"
44,Text,"HEADLINE17","bride_name_4","Cô Dâu"
45,Text,"HEADLINE18","bride_name_5","Cô Dâu"
46,Text,"LINE4","text_line4","Quốc Oai, Hà Nội"
47,Text,"GROUP9","text_group9","Quốc Oai, Hà Nội"
48,Text,"HEADLINE23","headline_23","Quốc Oai, Hà Nội"
49,Text,"HEADLINE19","headline_19","Quốc Oai, Hà Nội"
50,Text,"HEADLINE20","headline_20","Quốc Oai, Hà Nội"
51,Text,"LINE6","groom_family","NHÀ TRAI"
52,Image,"IMAGE8","image_8",""
53,Text,"GROUP10","text_group10","Quốc Oai, Hà Nội"
54,Text,"HEADLINE24","headline_24","Quốc Oai, Hà Nội"
55,Text,"HEADLINE25","headline_25","Quốc Oai, Hà Nội"
56,Text,"HEADLINE26","headline_26","Quốc Oai, Hà Nội"
57,Text,"LINE7","bride_family","NHÀ GÁI"
58,Text,"SECTION11","text_section11","Kiều Việt Hùng"
59,Image,"IMAGE25","image_25",""
60,Text,"HEADLINE55","love_text","CÂU CHUYỆN TÌNH YÊU"
61,Text,"GROUP38","love_text_2","CÂU CHUYỆN TÌNH YÊU"
62,Text,"GROUP36","love_text_3","CÂU CHUYỆN TÌNH YÊU"
63,Image,"IMAGE27","image_27",""
64,Image,"IMAGE29","image_29",""
65,Text,"BOX24","text_box24","20/03/2020"
66,Text,"GROUP42","text_group42","20/03/2020"
67,Text,"LINE10","text_line10","20/03/2020"
68,Text,"HEADLINE56","headline_56","20/03/2020"
69,Text,"HEADLINE57","headline_57","20/03/2020"
70,Text,"HEADLINE58","headline_58","20/03/2020"
71,Image,"IMAGE30","image_30",""
72,Image,"IMAGE31","image_31",""
73,Text,"BOX25","text_box25","24/04/2021"
74,Text,"GROUP43","text_group43","24/04/2021"
75,Text,"LINE13","text_line13","24/04/2021"
76,Text,"HEADLINE59","headline_59","24/04/2021"
77,Text,"HEADLINE60","headline_60","24/04/2021"
78,Text,"HEADLINE61","headline_61","24/04/2021"
79,Image,"IMAGE32","image_32",""
80,Image,"IMAGE33","image_33",""
81,Text,"BOX26","text_box26","24/04/2025"
82,Text,"GROUP47","text_group47","24/04/2025"
83,Text,"LINE16","text_line16","24/04/2025"
84,Text,"HEADLINE62","headline_62","24/04/2025"
85,Text,"HEADLINE63","headline_63","24/04/2025"
86,Text,"HEADLINE64","headline_64","24/04/2025"
87,Image,"IMAGE34","image_34",""
88,Image,"IMAGE35","image_35",""
89,Text,"BOX27","text_box27","06/05/2025"
90,Text,"GROUP51","text_group51","06/05/2025"
91,Text,"LINE19","text_line19","06/05/2025"
92,Text,"HEADLINE65","headline_65","06/05/2025"
93,Text,"HEADLINE66","headline_66","06/05/2025"
94,Text,"HEADLINE67","headline_67","06/05/2025"
95,Text,"SECTION12","album_title","ALBUM ẢNH"
96,Image,"IMAGE36","image_36",""
97,Text,"HEADLINE68","album_title_2","ALBUM ẢNH"
98,Text,"GROUP52","album_title_3","ALBUM ẢNH"
99,Image,"IMAGE37","image_37",""
100,Image,"IMAGE40","image_40",""
101,Image,"IMAGE41","image_41",""
102,Image,"IMAGE42","image_42",""
103,Image,"IMAGE43","image_43",""
104,Text,"SECTION13","text_section13","SỰ KIỆN"
105,Image,"IMAGE49","image_49",""
106,Text,"HEADLINE69","headline_69","SỰ KIỆN"
107,Image,"IMAGE50","image_50",""
108,Text,"PARAGRAPH26","event_date","10:00 – Ngày 04/9/2025"
109,Text,"PARAGRAPH27","event_date_2","10:00 – Ngày 04/9/2025"
110,Text,"PARAGRAPH29","event_date_3","10:00 – Ngày 04/9/2025"
111,Image,"IMAGE51","image_51",""
112,Text,"PARAGRAPH30","event_date_4","09:00 – Ngày 06/09/2025"
113,Text,"PARAGRAPH31","event_date_5","09:00 – Ngày 06/09/2025"
114,Text,"PARAGRAPH32","event_date_6","09:00 – Ngày 06/09/2025"
115,Image,"IMAGE52","image_52",""
116,Text,"GROUP84","view_button","XEM THÊM"
117,Text,"HEADLINE81","view_button_2","XEM THÊM"
118,Text,"SHAPE30","view_button_3","XEM THÊM"
119,Text,"SECTION14","text_section14","Bạn Sẽ Đến Chứ?"
120,Text,"GROUP56","text_group56","Bạn Sẽ Đến Chứ?"
121,Text,"HEADLINE70","headline_70","Bạn Sẽ Đến Chứ?"
122,Text,"HEADLINE71","headline_71","Bạn Sẽ Đến Chứ?"
123,Text,"GROUP57","love_text_4","Mình rất muốn được chụp chung với bạn những tấm hình kỷ niệm vì vậy hãy đến sớm hơn một chút bạn yêu nhé!"
124,Text,"GROUP58","send_button","Gửi đi"
125,Text,"FORM2","send_button_2","Gửi đi"
126,Text,"BUTTON10","send_button_3","Gửi đi"
127,Text,"BUTTON_TEXT10","send_button_4","Gửi đi"
128,Text,"FORM_ITEM2","send_button_5","Gửi đi"
129,Text,"FORM_ITEM3","text_form_item3","Mình sẽ đến"
130,Text,"FORM_ITEM4","text_form_item4","Xin lỗi, mình bận mất rồi"
131,Text,"FORM_ITEM5","bride_family_2","LỄ CƯỚI TẠI NHÀ GÁI"
132,Text,"FORM_ITEM6","bride_name_6","Bạn Cô Dâu"
