STT,Loại,ID,Tên cột,Nội dung
1,Text,"banner","text_banner",""
2,Image,"swiper-wrapper-fe8cea328460669f","image_swiper-wrapper-fe8cea328460669f",""
3,Text,"name","text_name","2024"
4,Text,"about","text_about","2024"
5,Text,"time-line","love_text","Love Story"
6,Text,"album","text_album","Thành hôn"
7,Text,"invitation","text_invitation","Hôn lễ"
8,Text,"dresscode","text_dresscode","Quy tắc trang phục"
9,Text,"countdown-secton","text_countdown-secton","CÙNG ĐẾM NGƯỢC THỜI GIAN"
10,Text,"message","text_message","Giây"
11,Text,"messageForm","send_button","Gửi lời chúc"
12,Text,"postId","send_button_2","Gửi lời chúc"
13,Text,"m_text","send_button_3","Lời nhắn gửi"
14,Text,"form","text_form","console.error('Error:', error)); });"
15,Text,"form-wedding","confirm_button","Xác nhận tham dự"
16,Text,"nha_trai","bride_family","THÀNH HÔN NHÀ GÁI"
17,Text,"f_name","text_f_name","Tên Khách Mời"
18,Text,"wedding-select","text_wedding-select","Có tôi sẽ đến"
19,Text,"f_text","confirm_button_2","Xác nhận"
20,Text,"gift","groom_name","Gửi quà đến cô dâu và chú rể"
21,Image,"box-gift","image_box-gift",""
22,Image,"gift-container","image_gift-container",""
23,Text,"thankyou","text_thankyou",""
24,Text,"eJOY__extension_ai_adv_root","text_ejoy__extension_ai_adv_root",""
25,Text,"mask0_427_34","text_mask0_427_34",""
26,Text,"mask1_427_34","text_mask1_427_34",""
27,Text,"mask2_427_34","text_mask2_427_34",""
28,Text,"eJOY__extension_root","text_ejoy__extension_root","0 / 10"
29,Text,"eJOY__extension_shadow","text_ejoy__extension_shadow","Từ điển"
