STT,Loại,ID,Tên cột,Nội dung
1,Text,"musicToggle","love_text","Made by Cinelove"
2,Text,"musicIcon","love_text_2","Made by Cinelove"
3,Text,"display-save-date","text_display-save-date","BÍCH THỦY"
4,Text,"display-time","and_text","Vào lúc"
5,Text,"display-day","text_display-day","12:00"
6,Text,"display-month-year","event_date","Ngày"
7,Text,"processing-wedding","event_month","Tháng/Năm"
8,Text,"countdown-container","event_month_2","Tháng/Năm"
9,Text,"display-weekday-text","text_display-weekday-text","Đã tổ chức"
10,Text,"rsvpForm","text_rsvpform","Mong bạn đến chia vui cùng chúng mình"
11,Text,"audio","text_audio","Thank you!"
12,Text,"eJOY__extension_ai_adv_root","text_ejoy__extension_ai_adv_root",""
13,Text,"mask0_427_34","text_mask0_427_34",""
14,Text,"mask1_427_34","text_mask1_427_34",""
15,Text,"mask2_427_34","text_mask2_427_34",""
16,Text,"eJOY__extension_root","text_ejoy__extension_root","0 / 10"
17,Text,"eJOY__extension_shadow","text_ejoy__extension_shadow",""
