STT,Loại,ID,Tên cột,Nội dung
1,Text,"banner","save_text","Save"
2,Text,"about","send_button","Gửi quà"
3,Text,"time-line","love_text","Love Story"
4,Text,"album","album_title","ALBUM ẢNH"
5,Text,"invitation","text_invitation","Hôn lễ"
6,Text,"dresscode","text_dresscode","Quy tắc trang phục"
7,Text,"countdown-secton","text_countdown-secton","CÙNG ĐẾM NGƯỢC THỜI GIAN"
8,Text,"form","text_form","Giây"
9,Text,"form-wedding","confirm_button","Xác nhận tham dự"
10,Text,"nha_trai","bride_family","THÀNH HÔN NHÀ GÁI"
11,Text,"f_name","text_f_name","Tên Khách Mời"
12,Text,"wedding-select","text_wedding-select","Có tôi sẽ đến"
13,Text,"f_text","confirm_button_2","Xác nhận"
14,Text,"message","send_button_2","Gửi lời chúc đến cặp đôi"
15,Text,"messageForm","send_button_3","Gửi lời chúc"
16,Text,"postId","send_button_4","Gửi lời chúc"
17,Text,"m_text","send_button_5","Lời nhắn gửi"
18,Text,"gift","text_gift","console.error('Error:', error)); });"
19,Image,"box-gift","image_box-gift",""
20,Image,"gift-container","image_gift-container",""
21,Image,"thankyou","image_thankyou",""
22,Text,"eJOY__extension_ai_adv_root","text_ejoy__extension_ai_adv_root",""
23,Text,"mask0_427_34","text_mask0_427_34",""
24,Text,"mask1_427_34","text_mask1_427_34",""
25,Text,"mask2_427_34","text_mask2_427_34",""
26,Text,"eJOY__extension_root","text_ejoy__extension_root","0 / 10"
27,Text,"eJOY__extension_shadow","text_ejoy__extension_shadow",""
