STT,Loại,ID,Tên cột,Nội dung
1,Image,"background-music","image_background-music",""
2,Image,"music-toggle","image_music-toggle",""
3,Image,"play-icon","image_play-icon",""
4,Image,"pause-icon","image_pause-icon",""
5,Image,"IMAGE1","image_1",""
6,Image,"IMAGE2","image_2",""
7,Image,"IMAGE3","image_3",""
8,Text,"HEADLINE3","headline_3","Thiệp mời"
9,Text,"HEADLINE4","headline_4","Thiệp mời"
10,Text,"GROUP26","text_group26","Thiệp mời"
11,Text,"BOX1","text_box1","wedding invitation"
12,Text,"HEADLINE6","headline_6","wedding invitation"
13,Text,"BUTTON3","and_text","Bạn và Gia Đình"
14,Text,"BUTTON_SHAPE3","button__SHAPE3",""
15,Text,"BUTTON_TEXT3","button_3",""
16,Text,"SECTION2","the_text","TOGETHER WITH OUR FAMILIES!"
17,Text,"GROUP22","the_text_2","TOGETHER WITH OUR FAMILIES!"
18,Text,"BOX2","the_text_3","TOGETHER WITH OUR FAMILIES!"
19,Text,"HEADLINE7","the_text_4","TOGETHER WITH OUR FAMILIES!"
20,Text,"HEADLINE8","the_text_5","TOGETHER WITH OUR FAMILIES!"
21,Text,"HEADLINE9","the_text_6","TOGETHER WITH OUR FAMILIES!"
22,Text,"HEADLINE10","headline_10","TIẾN ANH"
23,Text,"GROUP1","text_group1","NGỌC HUYỀN"
24,Text,"HEADLINE11","and_text_2","and"
25,Text,"HEADLINE12","event_month","THÁNG 12"
26,Text,"HEADLINE13","event_month_2","THÁNG 12"
27,Text,"LINE1","event_year","NĂM 2025"
28,Text,"HEADLINE14","event_year_2","NĂM 2025"
29,Text,"HEADLINE15","and_text_3","VÀO 17H30"
30,Text,"HEADLINE16","and_text_4","VÀO 17H30"
31,Text,"HEADLINE17","weekday","THỨ BẢY"
32,Image,"IMAGE7","image_7",""
33,Image,"IMAGE4","image_4",""
34,Text,"SECTION9","the_text_7","TOGETHER WITH OUR FAMILIES!"
35,Text,"GROUP36","the_text_8","TOGETHER WITH OUR FAMILIES!"
36,Text,"BOX17","the_text_9","TOGETHER WITH OUR FAMILIES!"
37,Text,"HEADLINE60","the_text_10","TOGETHER WITH OUR FAMILIES!"
38,Text,"HEADLINE61","the_text_11","TOGETHER WITH OUR FAMILIES!"
39,Text,"HEADLINE62","the_text_12","TOGETHER WITH OUR FAMILIES!"
40,Text,"HEADLINE63","headline_63","NGỌC HUYỀN"
41,Text,"GROUP37","text_group37","TIẾN ANH"
42,Text,"HEADLINE64","and_text_5","and"
43,Text,"HEADLINE65","event_month_3","THÁNG 12"
44,Text,"HEADLINE66","event_month_4","THÁNG 12"
45,Text,"LINE3","event_year_3","NĂM 2025"
46,Text,"HEADLINE67","event_year_4","NĂM 2025"
47,Text,"HEADLINE68","and_text_6","VÀO 16H30"
48,Text,"HEADLINE69","and_text_7","VÀO 16H30"
49,Text,"HEADLINE70","weekday_2","THỨ BẢY"
50,Image,"IMAGE51","image_51",""
51,Image,"IMAGE52","image_52",""
52,Text,"SECTION3","text_section3","VỀ CHÚNG TÔI"
53,Text,"HEADLINE18","headline_18","VỀ CHÚNG TÔI"
54,Text,"GROUP3","text_group3","VỀ CHÚNG TÔI"
55,Text,"BOX3","text_box3","VỀ CHÚNG TÔI"
56,Text,"BOX4","text_box4","VỀ CHÚNG TÔI"
57,Image,"IMAGE8","image_8",""
58,Text,"HEADLINE19","bride_name","Cô dâu"
59,Text,"HEADLINE20","bride_name_2","Cô dâu"
60,Text,"HEADLINE21","bride_name_3","Cô dâu"
61,Image,"IMAGE10","image_10",""
62,Text,"BOX5","bride_name_4","Cô dâu"
63,Text,"BOX6","bride_name_5","Cô dâu"
64,Image,"IMAGE11","image_11",""
65,Text,"HEADLINE22","bride_name_6","Cô dâu"
66,Text,"HEADLINE23","bride_name_7","Cô dâu"
67,Text,"HEADLINE24","bride_name_8","Cô dâu"
68,Image,"IMAGE12","image_12",""
69,Text,"SECTION4","timeline_title","Timeline"
70,Image,"IMAGE13","image_13",""
71,Text,"HEADLINE25","timeline_title_2","Timeline"
72,Text,"HEADLINE26","timeline_title_3","Timeline"
73,Text,"GROUP24","timeline_title_4","Timeline"
74,Text,"LINE2","text_line2","Lịch trình"
75,Text,"GROUP9","text_group9","16:00 - 16:30"
76,Text,"HEADLINE27","headline_27","16:00 - 16:30"
77,Text,"HEADLINE28","headline_28","16:00 - 16:30"
78,Text,"HEADLINE29","headline_29","16:00 - 16:30"
79,Text,"GROUP10","text_group10","Welcome Guest"
80,Text,"HEADLINE30","headline_30","Đón khách"
81,Text,"HEADLINE31","headline_31","16:30 - 17:00"
82,Text,"HEADLINE32","headline_32","16:30 - 17:00"
83,Text,"GROUP11","text_group11","Outdoor Party"
84,Text,"HEADLINE33","and_text_8","Tiệc rượu cocktail và fingerfood"
85,Text,"HEADLINE34","headline_34","17:00 - 20:00"
86,Text,"HEADLINE35","headline_35","17:00 - 20:00"
87,Text,"GROUP12","text_group12","Ceremony"
88,Text,"HEADLINE36","wedding_party","Tiệc cưới"
89,Text,"HEADLINE37","headline_37","20:30 - LATE"
90,Text,"HEADLINE38","headline_38","20:30 - LATE"
91,Text,"GROUP18","text_group18","Ending"
92,Image,"IMAGE14","image_14",""
93,Image,"IMAGE15","image_15",""
94,Image,"IMAGE16","image_16",""
95,Image,"IMAGE17","image_17",""
96,Image,"IMAGE37","image_37",""
97,Image,"IMAGE38","image_38",""
98,Image,"IMAGE39","image_39",""
99,Text,"GROUP29","love_text","CÂU CHUYỆN TÌNH YÊU"
100,Text,"BOX7","love_text_2","CÂU CHUYỆN TÌNH YÊU"
101,Text,"BOX9","love_text_3","CÂU CHUYỆN TÌNH YÊU"
102,Text,"HEADLINE39","love_text_4","CÂU CHUYỆN TÌNH YÊU"
103,Image,"IMAGE18","image_18",""
104,Text,"GROUP13","text_group13","[20.01.2013]"
105,Text,"BOX10","text_box10","[20.01.2013]"
106,Image,"IMAGE19","image_19",""
107,Text,"HEADLINE40","headline_40","[20.01.2013]"
108,Text,"HEADLINE41","headline_41","[20.01.2013]"
109,Text,"GROUP15","event_date","Ngày ấy, giữa muôn vàn con người, chúng ta chạm mặt nhau như một sự sắp đặt của định mệnh. Ánh mắt đầu tiên đã mở ra câu chuyện dài đầy yêu thương."
110,Text,"BOX11","text_box11","[15.04.2025]"
111,Image,"IMAGE20","image_20",""
112,Text,"HEADLINE42","headline_42","[15.04.2025]"
113,Text,"HEADLINE43","headline_43","[15.04.2025]"
114,Text,"GROUP16","event_month_5","Những buổi hẹn nhẹ nhàng, tiếng cười, những lần nắm tay… đã viết nên từng trang kỷ niệm. Tình yêu lớn dần theo năm tháng, và chúng ta biết rằng mình thuộc về nhau."
115,Text,"BOX12","text_box12","[07.12.2025]"
116,Image,"IMAGE21","image_21",""
117,Text,"HEADLINE44","headline_44","[07.12.2025]"
118,Text,"HEADLINE45","headline_45","[07.12.2025]"
119,Image,"IMAGE40","image_40",""
120,Image,"IMAGE41","image_41",""
121,Image,"IMAGE42","image_42",""
122,Image,"IMAGE22","image_22",""
123,Image,"IMAGE23","image_23",""
124,Image,"IMAGE24","image_24",""
125,Image,"IMAGE25","image_25",""
126,Image,"IMAGE26","image_26",""
127,Image,"IMAGE27","image_27",""
128,Image,"IMAGE28","image_28",""
129,Text,"GROUP17","view_button","XEM THÊM"
130,Text,"HEADLINE46","view_button_2","XEM THÊM"
131,Text,"SHAPE1","view_button_3","XEM THÊM"
132,Image,"IMAGE29","image_29",""
133,Image,"IMAGE30","image_30",""
134,Image,"IMAGE31","image_31",""
135,Image,"IMAGE32","image_32",""
136,Image,"IMAGE43","image_43",""
137,Image,"IMAGE44","image_44",""
138,Image,"IMAGE45","image_45",""
139,Image,"IMAGE46","image_46",""
140,Text,"SECTION7","text_section7","HỘP MỪNG CƯỚI"
141,Text,"HEADLINE47","headline_47","HỘP MỪNG CƯỚI"
142,Text,"GROUP20","text_group20","HỘP MỪNG CƯỚI"
143,Text,"BOX13","text_box13","HỘP MỪNG CƯỚI"
144,Text,"BOX14","groom_name","Chú rể"
145,Text,"HEADLINE48","groom_name_2","Chú rể"
146,Image,"IMAGE33","image_33",""
147,Text,"HEADLINE49","groom_name_3","Chú rể"
148,Text,"HEADLINE50","headline_50","Tiến Anh"
149,Text,"HEADLINE51","headline_51","Tiến Anh"
150,Text,"GROUP21","text_group21","Vietinbank"
151,Text,"BOX15","text_box15","Vietinbank"
152,Text,"BOX16","bride_name_9","Cô dâu"
153,Text,"HEADLINE52","bride_name_10","Cô dâu"
154,Image,"IMAGE34","image_34",""
155,Text,"HEADLINE53","bride_name_11","Cô dâu"
156,Text,"HEADLINE54","headline_54","Ngọc Huyền"
