STT,Loại,ID,Tên cột,Nội dung
1,Image,"background-music","image_background-music",""
2,Image,"music-toggle","image_music-toggle",""
3,Image,"play-icon","image_play-icon",""
4,Image,"pause-icon","image_pause-icon",""
5,Image,"IMAGE1","image_1",""
6,Image,"IMAGE2","image_2",""
7,Image,"IMAGE6","image_6",""
8,Text,"GROUP20","save_the_date","SAVE THE DATE"
9,Text,"HEADLINE3","save_the_date_2","SAVE THE DATE"
10,Text,"HEADLINE4","save_the_date_3","SAVE THE DATE"
11,Text,"HEADLINE5","save_the_date_4","SAVE THE DATE"
12,Text,"HEADLINE6","headline_6","LOUIS &amp; KELLY"
13,Text,"SECTION2","text_section2","WEDDING"
14,Text,"GROUP21","text_group21","Celebration"
15,Text,"HEADLINE7","headline_7","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;OF A HAPPY MARRIAGE&nbsp;"
16,Text,"HEADLINE8","headline_8","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;OF A HAPPY MARRIAGE&nbsp;"
17,Image,"IMAGE7","image_7",""
18,Image,"IMAGE8","image_8",""
19,Text,"GROUP22","save_text","SAVE"
20,Text,"GROUP16","save_text_2","SAVE"
21,Text,"HEADLINE9","save_text_3","SAVE"
22,Text,"HEADLINE10","save_text_4","SAVE"
23,Text,"HEADLINE11","save_text_5","SAVE"
24,Text,"HEADLINE12","the_text","THE"
25,Image,"IMAGE9","image_9",""
26,Text,"BUTTON_SHAPE7","button__SHAPE7",""
27,Text,"BUTTON_TEXT7","bride_family","Nhà gái"
28,Text,"SECTION3","bride_family_2","Nhà gái"
29,Text,"GROUP1","bride_family_3","Nhà gái"
30,Text,"HEADLINE13","bride_family_4","Nhà gái"
31,Text,"HEADLINE14","bride_family_5","Nhà gái"
32,Text,"GROUP2","text_group2","Emma C. D. Watson"
33,Text,"HEADLINE15","headline_15","Emma C. D. Watson"
34,Text,"HEADLINE16","groom_family","Nhà trai"
35,Text,"GROUP26","groom_family_2","Nhà trai"
36,Text,"GROUP23","text_group23","Caridwen Edith"
37,Text,"GROUP3","text_group3","Caridwen Edith"
38,Text,"HEADLINE17","headline_17",""
39,Text,"HEADLINE18","headline_18",""
40,Text,"HEADLINE19","headline_19","LOUIS"
41,Text,"HEADLINE20","headline_20","LOUIS"
42,Text,"LINE1","text_line1","LOUIS"
43,Text,"HEADLINE21","headline_21","LOUIS"
44,Text,"HEADLINE22","headline_22","LOUIS"
45,Text,"HEADLINE23","headline_23","LOUIS"
46,Text,"GROUP4","text_group4","KELLY"
47,Image,"IMAGE11","image_11",""
48,Image,"IMAGE10","image_10",""
49,Image,"IMAGE13","image_13",""
50,Image,"IMAGE12","image_12",""
51,Text,"GROUP24","venue_name","ĐỊA ĐIỂM"
52,Text,"BOX1","venue_name_2","ĐỊA ĐIỂM"
53,Text,"HEADLINE24","venue_name_3","ĐỊA ĐIỂM"
54,Text,"HEADLINE25","venue_name_4","ĐỊA ĐIỂM"
55,Text,"GROUP17","venue_name_5","ĐỊA ĐIỂM"
56,Text,"HEADLINE26","headline_26","TÂY HỒ HILL"
57,Text,"HEADLINE27","event_year","63A Nam Hồ"
58,Text,"LINE2","event_year_2","63A Nam Hồ"
59,Text,"HEADLINE28","headline_28","Phường 11, Thành phố Đà Lạt, Lâm Đồng"
60,Text,"HEADLINE29","weekday","Vào lúc 15:30 - Thứ Bảy"
61,Text,"HEADLINE30","weekday_2","Vào lúc 15:30 - Thứ Bảy"
62,Text,"BOX2","text_box2","21.09.2024"
63,Text,"HEADLINE31","event_date","ĐẾM NGƯỢC NGÀY CƯỚI"
64,Text,"GROUP6","event_date_2","ĐẾM NGƯỢC NGÀY CƯỚI"
65,Text,"COUNTDOWN1","event_date_3","ĐẾM NGƯỢC NGÀY CƯỚI"
66,Text,"COUNTDOWN_ITEM1","text_countdown_item1",""
67,Text,"COUNTDOWN_ITEM2","text_countdown_item2",""
68,Text,"COUNTDOWN_ITEM3","event_date_4","Ngày"
69,Text,"COUNTDOWN_ITEM4","event_date_5","Ngày"
70,Text,"HEADLINE32","event_date_6","Ngày"
71,Text,"HEADLINE33","event_date_7","Ngày"
72,Text,"HEADLINE34","event_date_8","Ngày"
73,Text,"HEADLINE35","event_time","Giờ"
74,Text,"GROUP30","text_group30","Phút"
75,Text,"PARAGRAPH15","text_15","Giây"
76,Text,"PARAGRAPH16","invitation_text","TRÂN TRỌNG KÍNH MỜI"
77,Text,"PARAGRAPH17","invitation_text_2","TRÂN TRỌNG KÍNH MỜI"
78,Text,"SECTION8","text_section8","ĐẾN DỰ BỮA TIỆC CHUNG VUI CÙNG GIA ĐÌNH CHÚNG TÔI"
79,Text,"GROUP33","groom_family_3","Nhà trai"
80,Text,"HEADLINE50","groom_family_4","Nhà trai"
81,Text,"HEADLINE51","groom_family_5","Nhà trai"
82,Text,"GROUP34","text_group34","Emma C. D. Watson"
83,Text,"HEADLINE52","headline_52","Emma C. D. Watson"
84,Text,"HEADLINE53","bride_family_6","Nhà gái"
85,Text,"GROUP35","text_group35","Caridwen Edith"
86,Text,"GROUP36","text_group36","Caridwen Edith"
87,Text,"GROUP37","text_group37","Caridwen Edith"
88,Text,"HEADLINE54","headline_54",""
89,Text,"HEADLINE55","headline_55",""
90,Text,"HEADLINE56","headline_56","LOUIS"
91,Text,"HEADLINE57","headline_57","LOUIS"
92,Text,"LINE4","text_line4","LOUIS"
93,Text,"HEADLINE58","headline_58","LOUIS"
94,Text,"HEADLINE59","headline_59","LOUIS"
95,Text,"HEADLINE60","headline_60","LOUIS"
96,Text,"GROUP38","text_group38","KELLY"
97,Image,"IMAGE34","image_34",""
98,Image,"IMAGE35","image_35",""
99,Image,"IMAGE36","image_36",""
100,Image,"IMAGE37","image_37",""
101,Text,"GROUP40","venue_name_6","ĐỊA ĐIỂM"
102,Text,"BOX7","venue_name_7","ĐỊA ĐIỂM"
103,Text,"HEADLINE61","venue_name_8","ĐỊA ĐIỂM"
104,Text,"HEADLINE62","venue_name_9","ĐỊA ĐIỂM"
105,Text,"GROUP41","venue_name_10","ĐỊA ĐIỂM"
106,Text,"HEADLINE63","groom_family_6","Tư Gia Nhà Trai"
107,Text,"HEADLINE64","event_year_3","92A Nam Hồ"
108,Text,"LINE5","event_year_4","92A Nam Hồ"
109,Text,"HEADLINE65","headline_65","Phường 11, Thành phố Đà Lạt, Lâm Đồng"
110,Text,"HEADLINE66","weekday_3","Vào lúc 15:30 - Thứ Bảy"
111,Text,"HEADLINE67","weekday_4","Vào lúc 15:30 - Thứ Bảy"
112,Text,"BOX8","text_box8","21.09.2024"
113,Text,"HEADLINE68","event_date_9","ĐẾM NGƯỢC NGÀY CƯỚI"
114,Text,"GROUP43","event_date_10","ĐẾM NGƯỢC NGÀY CƯỚI"
115,Text,"COUNTDOWN2","event_date_11","ĐẾM NGƯỢC NGÀY CƯỚI"
116,Text,"COUNTDOWN_ITEM5","text_countdown_item5",""
117,Text,"COUNTDOWN_ITEM6","text_countdown_item6",""
118,Text,"COUNTDOWN_ITEM7","event_date_12","Ngày"
119,Text,"COUNTDOWN_ITEM8","event_date_13","Ngày"
120,Text,"HEADLINE69","event_date_14","Ngày"
121,Text,"HEADLINE70","event_date_15","Ngày"
122,Text,"HEADLINE71","event_date_16","Ngày"
123,Text,"HEADLINE72","event_time_2","Giờ"
124,Text,"GROUP44","text_group44","Phút"
125,Text,"PARAGRAPH18","text_18","Giây"
126,Text,"PARAGRAPH19","invitation_text_3","TRÂN TRỌNG KÍNH MỜI"
127,Text,"PARAGRAPH20","invitation_text_4","TRÂN TRỌNG KÍNH MỜI"
128,Text,"SECTION4","text_section4","ĐẾN DỰ BỮA TIỆC CHUNG VUI CÙNG GIA ĐÌNH CHÚNG TÔI"
129,Text,"GROUP27","wedding_party","TIMELINE TIỆC CƯỚI"
130,Text,"HEADLINE36","wedding_party_2","TIMELINE TIỆC CƯỚI"
131,Text,"GROUP7","wedding_party_3","TIMELINE TIỆC CƯỚI"
132,Image,"IMAGE15","image_15",""
133,Image,"IMAGE14","image_14",""
134,Image,"IMAGE16","image_16",""
135,Image,"IMAGE17","image_17",""
136,Text,"PARAGRAPH3","text_3","3:00 PM&nbsp;"
137,Text,"PARAGRAPH4","text_4","3:00 PM&nbsp;"
138,Image,"IMAGE18","image_18",""
139,Text,"PARAGRAPH5","text_5","3:30 PM&nbsp;"
140,Text,"PARAGRAPH6","text_6","3:30 PM&nbsp;"
