STT,Loại,ID,Tên cột,Nội dung
1,Text,"album","text_album","Thành hôn"
2,Text,"invitation","text_invitation","Hôn lễ"
3,Text,"dresscode","text_dresscode","Quy tắc trang phục"
4,Text,"countdown-secton","text_countdown-secton","CÙNG ĐẾM NGƯỢC THỜI GIAN"
5,Text,"form","text_form","Giây"
6,Text,"form-wedding","confirm_button","Xác nhận tham dự"
7,Text,"nha_trai","bride_family","THÀNH HÔN NHÀ GÁI"
8,Text,"f_name","text_f_name","Tên Khách Mời"
9,Text,"wedding-select","text_wedding-select","Có tôi sẽ đến"
10,Text,"f_text","confirm_button_2","Xác nhận"
11,Text,"message","send_button","Gửi lời chúc đến cặp đôi"
12,Text,"messageForm","send_button_2","Gửi lời chúc"
13,Text,"postId","send_button_3","Gửi lời chúc"
14,Text,"m_text","send_button_4","Lời nhắn gửi"
15,Text,"gift","text_gift","console.error('Error:', error)); });"
16,Image,"box-gift","image_box-gift",""
17,Image,"gift-container","image_gift-container",""
18,Image,"thankyou","image_thankyou",""
19,Text,"eJOY__extension_ai_adv_root","text_ejoy__extension_ai_adv_root",""
20,Text,"mask0_427_34","text_mask0_427_34",""
21,Text,"mask1_427_34","text_mask1_427_34",""
22,Text,"mask2_427_34","text_mask2_427_34",""
23,Text,"eJOY__extension_root","text_ejoy__extension_root","0 / 10"
24,Text,"eJOY__extension_shadow","text_ejoy__extension_shadow",""
