STT,Loại,ID,Tên cột,Nội dung
1,Image,"style_element","image_style_element",""
2,Image,"background-music","image_background-music",""
3,Image,"music-toggle","image_music-toggle",""
4,Image,"play-icon","image_play-icon",""
5,Image,"pause-icon","image_pause-icon",""
6,Text,"SECTION2","text_section2","Đức Tín &amp; Minh Thư"
7,Image,"IMAGE1","image_1",""
8,Text,"HEADLINE3","headline_3","Đức Tín &amp; Minh Thư"
9,Text,"HEADLINE4","headline_4","Đức Tín &amp; Minh Thư"
10,Text,"LINE1","wedding_party","THƯ MỜI TIỆC CƯỚI"
11,Text,"HEADLINE6","wedding_party_2","THƯ MỜI TIỆC CƯỚI"
12,Text,"LINE2","text_line2","01 . 11 . 2025"
13,Text,"HEADLINE78","headline_78","01 . 11 . 2025"
14,Image,"IMAGE31","image_31",""
15,Text,"BUTTON_SHAPE31","button__SHAPE31",""
16,Text,"BUTTON_TEXT31","button_31","Aurora"
17,Text,"NOTIFY2","text_notify2","Aurora"
18,Text,"SECTION3","text_section3","Aurora"
19,Text,"GROUP1","text_group1","Bạn Dâu Rể"
20,Text,"HEADLINE10","bride_family","NHÀ GÁI"
21,Text,"PARAGRAPH1","bride_family_2","NHÀ GÁI"
22,Text,"GROUP3","grandfather_name","Ông: Huỳnh Tiến"
23,Text,"HEADLINE11","grandfather_name_2","Ông: Huỳnh Tiến"
24,Text,"PARAGRAPH2","groom_family","NHÀ TRAI"
25,Image,"IMAGE2","image_2",""
26,Image,"IMAGE3","image_3",""
27,Image,"IMAGE4","image_4",""
28,Text,"HEADLINE64","headline_64","""Sự gì Thiên Chúa đã kết hợp,"
29,Text,"SECTION4","text_section4","""Sự gì Thiên Chúa đã kết hợp,"
30,Text,"BOX1","grandfather_name_3","loài người không được phân ly.”"
31,Text,"HEADLINE12","marriage_ceremony","LỄ THÀNH HÔN"
32,Text,"HEADLINE14","marriage_ceremony_2","LỄ THÀNH HÔN"
33,Text,"HEADLINE15","marriage_ceremony_3","LỄ THÀNH HÔN"
34,Image,"IMAGE5","image_5",""
35,Text,"HEADLINE16","headline_16","Minh Thư"
36,Text,"HEADLINE17","headline_17","Đón Khách: 16H30"
37,Text,"HEADLINE18","headline_18","Nhập Tiệc: 17H30"
38,Text,"LINE3","weekday","THỨ BẢY"
39,Text,"LINE4","event_date","(Tức ngày 12 tháng 09 năm Ất Tỵ)"
40,Text,"HEADLINE23","event_date_2","(Tức ngày 12 tháng 09 năm Ất Tỵ)"
41,Text,"HEADLINE20","event_date_3","(Tức ngày 12 tháng 09 năm Ất Tỵ)"
42,Text,"HEADLINE21","event_date_4","(Tức ngày 12 tháng 09 năm Ất Tỵ)"
43,Text,"COUNTDOWN1","event_month","THÁNG 11"
44,Text,"COUNTDOWN_ITEM1","text_countdown_item1",""
45,Text,"COUNTDOWN_ITEM2","text_countdown_item2",""
46,Text,"COUNTDOWN_ITEM3","event_date_5","Ngày"
47,Text,"COUNTDOWN_ITEM4","event_date_6","Ngày"
48,Text,"HEADLINE24","event_date_7","Ngày"
49,Text,"HEADLINE25","event_date_8","Ngày"
50,Text,"HEADLINE26","event_date_9","Ngày"
51,Text,"HEADLINE27","event_time","Giờ"
52,Text,"HEADLINE28","headline_28","Phút"
53,Text,"BUTTON2","button_2","Cùng đếm ngược thời gian với chúng mình nha!"
54,Text,"BUTTON_TEXT2","confirm_button","XÁC NHẬN THAM DỰ"
55,Text,"BUTTON3","confirm_button_2","XÁC NHẬN THAM DỰ"
56,Text,"BUTTON_TEXT3","groom_family_2","GỬI MỪNG CƯỚI NHÀ TRAI"
57,Text,"BUTTON12","groom_family_3","GỬI MỪNG CƯỚI NHÀ TRAI"
58,Text,"BUTTON_TEXT12","bride_family_3","GỬI MỪNG CƯỚI NHÀ GÁI"
59,Text,"PARAGRAPH10","bride_family_4","GỬI MỪNG CƯỚI NHÀ GÁI"
60,Text,"PARAGRAPH11","bride_family_5","GỬI MỪNG CƯỚI NHÀ GÁI"
61,Text,"PARAGRAPH14","invitation_text","TRÂN TRỌNG KÍNH MỜI"
62,Text,"SECTION12","text_section12","TỚI DỰ"
63,Text,"GROUP47","text_group47","Quý Khách"
64,Text,"BOX20","bride_family_6","TIỆC CƯỚI NHÀ GÁI"
65,Text,"HEADLINE83","bride_family_7","TIỆC CƯỚI NHÀ GÁI"
66,Text,"GROUP48","bride_family_8","TIỆC CƯỚI NHÀ GÁI"
67,Text,"HEADLINE84","bride_family_9","TIỆC CƯỚI NHÀ GÁI"
68,Text,"HEADLINE85","weekday_2","THỨ 5 I 16:00"
69,Text,"HEADLINE86","headline_86","27 . 11 . 2025"
70,Text,"GROUP49","event_date_10","(Tức ngày 08 Tháng 10 Năm Ất Tỵ)"
71,Text,"HEADLINE87","event_date_11","(Tức ngày 08 Tháng 10 Năm Ất Tỵ)"
72,Text,"HEADLINE88","bride_family_10","Tại Tư Gia Nhà Gái"
73,Text,"BUTTON33","button_33","Nhà May Toàn Thắng"
74,Text,"BUTTON_TEXT33","confirm_button_3","XÁC NHẬN THAM DỰ"
75,Text,"GROUP50","confirm_button_4","XÁC NHẬN THAM DỰ"
76,Text,"BOX21","confirm_button_5","XÁC NHẬN THAM DỰ"
77,Text,"HEADLINE90","groom_family_4","TIỆC CƯỚI NHÀ TRAI"
78,Text,"GROUP51","groom_family_5","TIỆC CƯỚI NHÀ TRAI"
79,Text,"HEADLINE91","groom_family_6","TIỆC CƯỚI NHÀ TRAI"
80,Text,"HEADLINE92","weekday_3","THỨ 6 I 11:00"
81,Text,"HEADLINE93","headline_93","28 . 11 . 2025"
82,Text,"GROUP52","event_date_12","(Tức ngày 09 Tháng 10 Năm Ất Tỵ)"
83,Text,"HEADLINE94","event_date_13","(Tức ngày 09 Tháng 10 Năm Ất Tỵ)"
84,Text,"HEADLINE95","wedding_party_3","Tại Trung Tâm Tiệc Cưới"
85,Text,"BUTTON34","button_34","Vạn Hoa Thiên Sơn Plaza"
86,Text,"BUTTON_TEXT34","confirm_button_6","XÁC NHẬN THAM DỰ"
87,Text,"SECTION7","confirm_button_7","XÁC NHẬN THAM DỰ"
88,Text,"HEADLINE68","confirm_button_8","XÁC NHẬN THAM DỰ"
89,Text,"HEADLINE69","venue_name","ĐỊA ĐIỂM TỔ CHỨC"
90,Text,"BUTTON25","event_year","Resort&nbsp; Phương&nbsp; Nam"
91,Text,"BUTTON_TEXT25","view_button","Xem Chỉ Đường"
92,Text,"HEADLINE70","view_button_2","Xem Chỉ Đường"
93,Text,"HTML_CODE3","grandfather_name_4","**Resort khuyến nghị: Để tránh nguy hiểm ngoài ý muốn tại hồ bơi không có rào chắn, quý khách nên hạn chế cho trẻ nhỏ đi cùng."
94,Text,"PARAGRAPH12","album_title","Album ảnh của chúng tôi!"
95,Image,"IMAGE24","image_24",""
96,Image,"IMAGE25","image_25",""
97,Image,"IMAGE26","image_26",""
98,Image,"IMAGE27","image_27",""
99,Image,"IMAGE28","image_28",""
100,Image,"IMAGE29","image_29",""
101,Image,"IMAGE30","image_30",""
102,Text,"GROUP42","view_button_3","XEM THÊM"
103,Text,"HEADLINE73","view_button_4","XEM THÊM"
104,Text,"SHAPE4","view_button_5","XEM THÊM"
105,Text,"PARAGRAPH17","send_button","Cảm ơn bạn rất nhiều vì đã gửi những lời chúc mừng tốt đẹp nhất đến đám cưới của chúng mình!"
106,Text,"FORM7","send_button_2","Gửi lời chúc"
107,Text,"687876ba227d8a0013a24db6","send_button_3","Gửi lời chúc"
108,Text,"BUTTON32","send_button_4","Gửi lời chúc"
