STT,Loại,ID,Tên cột,Nội dung
1,Image,"background-music","image_background-music",""
2,Image,"music-toggle","image_music-toggle",""
3,Image,"play-icon","image_play-icon",""
4,Image,"pause-icon","image_pause-icon",""
5,Image,"IMAGE1","image_1",""
6,Image,"IMAGE2","image_2",""
7,Image,"IMAGE3","image_3",""
8,Text,"HEADLINE3","headline_3",""
9,Text,"HEADLINE4","save_text","SAVE |"
10,Text,"HEADLINE5","save_text_2","SAVE |"
11,Text,"HEADLINE6","save_text_3","SAVE |"
12,Image,"IMAGE4","image_4",""
13,Text,"GROUP33","date_text","| DATE"
14,Image,"IMAGE5","image_5",""
15,Text,"HEADLINE7","headline_7","WEDDING"
16,Text,"HEADLINE8","headline_8","WEDDING"
17,Text,"SECTION2","text_section2","WEDDING"
18,Text,"GROUP38","text_group38","invitation"
19,Text,"HEADLINE9","headline_9",""
20,Text,"HEADLINE10","headline_10",""
21,Text,"LINE1","text_line1",""
22,Image,"IMAGE6","image_6",""
23,Image,"IMAGE7","image_7",""
24,Text,"PARAGRAPH1","text_1","ĐOÀN NHẤT VŨ"
25,Text,"PARAGRAPH2","text_2","ĐOÀN NHẤT VŨ"
26,Text,"PARAGRAPH3","text_3","ĐOÀN NHẤT VŨ"
27,Text,"PARAGRAPH39","and_text","and"
28,Text,"PARAGRAPH40","invitation_text","TRÂN TRỌNG KÍNH MỜI"
29,Text,"PARAGRAPH41","invitation_text_2","TRÂN TRỌNG KÍNH MỜI"
30,Text,"LINE16","text_line16","Quý Khách"
31,Text,"GROUP36","marriage_ceremony","ĐẾN DỰ LỄ THÀNH HÔN CỦA GIA ĐÌNH CHÚNG TÔI!"
32,Text,"GROUP35","weekday","Thứ 5"
33,Text,"GROUP32","weekday_2","Thứ 5"
34,Text,"HEADLINE12","weekday_3","Thứ 5"
35,Text,"HEADLINE13","weekday_4","Thứ 5"
36,Text,"HEADLINE14","weekday_5","Thứ 5"
37,Text,"HEADLINE15","weekday_6","Thứ 4"
38,Text,"HEADLINE16","weekday_7","Thứ 3"
39,Text,"HEADLINE17","weekday_8","Thứ 2"
40,Text,"HEADLINE18","weekday_9","Thứ 6"
41,Text,"HEADLINE19","weekday_10","Thứ 7"
42,Text,"HEADLINE20","headline_20",""
43,Text,"HEADLINE21","headline_21",""
44,Text,"HEADLINE22","headline_22",""
45,Text,"HEADLINE23","headline_23",""
46,Text,"HEADLINE24","headline_24",""
47,Text,"HEADLINE25","headline_25",""
48,Text,"HEADLINE26","headline_26",""
49,Text,"HEADLINE27","headline_27",""
50,Text,"HEADLINE28","headline_28",""
51,Text,"HEADLINE29","headline_29",""
52,Text,"HEADLINE30","headline_30",""
53,Text,"HEADLINE31","headline_31",""
54,Text,"HEADLINE32","headline_32",""
55,Text,"HEADLINE33","headline_33",""
56,Text,"HEADLINE34","headline_34",""
57,Text,"HEADLINE35","headline_35",""
58,Text,"HEADLINE36","headline_36",""
59,Text,"HEADLINE37","headline_37",""
60,Text,"HEADLINE38","headline_38",""
61,Text,"HEADLINE39","headline_39",""
62,Text,"HEADLINE40","headline_40",""
63,Text,"HEADLINE41","headline_41",""
64,Text,"HEADLINE42","headline_42",""
65,Text,"HEADLINE43","headline_43",""
66,Text,"HEADLINE44","headline_44",""
67,Text,"HEADLINE45","headline_45",""
68,Text,"HEADLINE46","headline_46",""
69,Text,"HEADLINE47","headline_47",""
70,Text,"HEADLINE48","headline_48",""
71,Text,"HEADLINE49","event_month","Tháng 10 - 2025"
72,Image,"IMAGE8","image_8",""
73,Text,"HEADLINE11","event_month_2","Tháng 10 - 2025"
74,Text,"GROUP54","event_month_3","Tháng 10 - 2025"
75,Text,"PARAGRAPH42","event_month_4","Tháng 10 - 2025"
76,Text,"BUTTON4","groom_family","TIỆC CƯỚI NHÀ TRAI"
77,Text,"BUTTON_TEXT4","button_4","Mừng cưới"
78,Text,"BUTTON5","button_5","Mừng cưới"
79,Text,"BUTTON_TEXT5","view_button","Xem chỉ đường"
80,Text,"PARAGRAPH4","view_button_2","Xem chỉ đường"
81,Text,"PARAGRAPH5","view_button_3","Xem chỉ đường"
82,Text,"PARAGRAPH6","event_time","VÀO 10 GIỜ 45"
83,Text,"PARAGRAPH7","event_time_2","VÀO 10 GIỜ 45"
84,Text,"PARAGRAPH8","event_time_3","VÀO 10 GIỜ 45"
85,Text,"GROUP55","text_group55","TRỐNG ĐỒNG CẢNH HỒ"
86,Text,"PARAGRAPH43","text_43","TRỐNG ĐỒNG CẢNH HỒ"
87,Text,"BUTTON6","bride_family","TIỆC CƯỚI NHÀ GÁI"
88,Text,"BUTTON_TEXT6","button_6","Mừng cưới"
89,Text,"BUTTON7","button_7","Mừng cưới"
90,Text,"BUTTON_TEXT7","view_button_4","Xem chỉ đường"
91,Text,"PARAGRAPH44","view_button_5","Xem chỉ đường"
92,Text,"PARAGRAPH45","view_button_6","Xem chỉ đường"
93,Text,"PARAGRAPH46","event_time_4","VÀO 10 GIỜ 45"
94,Text,"PARAGRAPH47","event_time_5","VÀO 10 GIỜ 45"
95,Text,"PARAGRAPH48","event_time_6","VÀO 10 GIỜ 45"
96,Text,"SECTION3","text_section3","TƯ GIA"
97,Text,"GROUP49","timeline_title","TIMELINE"
98,Text,"GROUP34","timeline_title_2","TIMELINE"
99,Text,"PARAGRAPH9","timeline_title_3","TIMELINE"
100,Text,"HEADLINE50","timeline_title_4","TIMELINE"
101,Text,"LINE4","timeline_title_5","TIMELINE"
102,Text,"GROUP4","text_group4","Wedding"
103,Text,"LINE5","text_line5","11:00"
104,Text,"HEADLINE51","headline_51","11:00"
105,Image,"IMAGE9","image_9",""
106,Text,"HEADLINE52","headline_52","11:00"
107,Text,"GROUP5","text_group5","Đón khách"
108,Text,"LINE6","text_line6","Đón khách"
109,Text,"HEADLINE53","headline_53","12:00"
110,Image,"IMAGE10","image_10",""
111,Text,"HEADLINE54","headline_54","12:00"
112,Text,"GROUP6","text_group6","Tiệc rượu"
113,Text,"LINE7","text_line7","Tiệc rượu"
114,Text,"HEADLINE55","headline_55","13:00"
115,Image,"IMAGE11","image_11",""
116,Text,"HEADLINE56","headline_56","13:00"
117,Text,"GROUP8","text_group8","Chụp ảnh"
118,Text,"LINE8","text_line8","Chụp ảnh"
119,Text,"HEADLINE57","headline_57","11:30"
120,Image,"IMAGE12","image_12",""
121,Text,"HEADLINE58","headline_58","11:30"
122,Text,"GROUP9","wedding_ceremony","Lễ cưới"
123,Text,"LINE9","wedding_ceremony_2","Lễ cưới"
124,Text,"HEADLINE59","headline_59","12:30"
125,Image,"IMAGE13","image_13",""
126,Text,"HEADLINE60","headline_60","12:30"
127,Text,"SECTION10","text_section10","Khai tiệc"
128,Text,"BOX11","text_box11",""
129,Text,"COUNTDOWN1","text_countdown1",""
130,Text,"COUNTDOWN_ITEM1","text_countdown_item1",""
131,Text,"COUNTDOWN_ITEM2","text_countdown_item2",""
132,Text,"COUNTDOWN_ITEM3","event_date","Ngày"
133,Text,"COUNTDOWN_ITEM4","event_date_2","Ngày"
134,Text,"PARAGRAPH33","event_date_3","Ngày"
135,Text,"PARAGRAPH34","event_date_4","Ngày"
136,Text,"PARAGRAPH35","event_date_5","Ngày"
137,Text,"PARAGRAPH36","event_time_7","Giờ"
138,Text,"PARAGRAPH37","text_37","Phút"
139,Text,"HEADLINE73","headline_73","Giây"
140,Text,"LINE15","text_line15","Wedding"
141,Text,"PARAGRAPH11","text_11","VỀ CHÚNG TÔI"
142,Image,"IMAGE14","image_14",""
143,Text,"PARAGRAPH12","bride_name","Về cô dâu"
144,Text,"PARAGRAPH13","bride_name_2","Về cô dâu"
145,Text,"PARAGRAPH14","bride_name_3","Về cô dâu"
146,Image,"IMAGE15","image_15",""
147,Image,"IMAGE18","image_18",""
148,Image,"IMAGE19","image_19",""
149,Text,"PARAGRAPH15","groom_name","Về chú rể"
150,Text,"PARAGRAPH16","groom_name_2","Về chú rể"
151,Text,"PARAGRAPH17","groom_name_3","Về chú rể"
152,Image,"IMAGE20","image_20",""
153,Image,"IMAGE21","image_21",""
154,Image,"IMAGE22","image_22",""
155,Text,"PARAGRAPH18","text_18","CHẶNG ĐƯỜNG"
156,Text,"PARAGRAPH19","text_19","CHẶNG ĐƯỜNG"
157,Image,"IMAGE24","image_24",""
158,Text,"PARAGRAPH20","text_20","20.05.2019"
159,Text,"PARAGRAPH21","text_21","20.05.2019"
160,Text,"PARAGRAPH22","event_date_6","Ngày ấy, giữa muôn vàn con người, chúng ta chạm mặt nhau như một sự sắp đặt của định mệnh. Ánh mắt đầu tiên đã mở ra câu chuyện dài đầy yêu thương."
161,Image,"IMAGE25","image_25",""
