STT,Loại,ID,Tên cột,Nội dung
1,Image,"background-music","image_background-music",""
2,Image,"music-toggle","image_music-toggle",""
3,Image,"play-icon","image_play-icon",""
4,Image,"pause-icon","image_pause-icon",""
5,Text,"shape_LDLdbIlNKm","text_shape_ldldbilnkm",""
6,Text,"SECTION1","text_section1","Bạn sẽ tham dự &gt;"
7,Text,"GROUP44","text_group44","Bạn sẽ tham dự &gt;"
8,Text,"BOX18","text_box18","Bạn sẽ tham dự &gt;"
9,Text,"HEADLINE12","headline_12","Bạn sẽ tham dự &gt;"
10,Text,"HEADLINE4","headline_4","Bạn sẽ tham dự &gt;"
11,Text,"HEADLINE5","headline_5","Gia Bảo &amp; Hà My"
12,Text,"GROUP58","event_date","Chủ Nhật, ngày 20/07/2025"
13,Image,"IMAGE67","image_67",""
14,Image,"IMAGE70","image_70",""
15,Image,"IMAGE7","image_7",""
16,Image,"IMAGE11","image_11",""
17,Image,"IMAGE5","image_5",""
18,Image,"IMAGE10","image_10",""
19,Image,"IMAGE15","image_15",""
20,Image,"IMAGE13","image_13",""
21,Image,"IMAGE16","image_16",""
22,Image,"IMAGE9","image_9",""
23,Image,"IMAGE17","image_17",""
24,Text,"PARAGRAPH3","text_3","Gia Bảo"
25,Text,"PARAGRAPH4","text_4","Gia Bảo"
26,Text,"GROUP23","text_group23","Hà My"
27,Text,"HEADLINE6","headline_6","Gia Bảo &amp; Hà My"
28,Text,"PARAGRAPH6","text_6","Gia Bảo &amp; Hà My"
29,Text,"GROUP13","groom_family","NHÀ TRAI"
30,Text,"LINE7","groom_family_2","NHÀ TRAI"
31,Text,"LINE8","groom_family_3","NHÀ TRAI"
32,Text,"PARAGRAPH7","groom_family_4","NHÀ TRAI"
33,Image,"IMAGE18","image_18",""
34,Text,"PARAGRAPH9","bride_family","NHÀ GÁI"
35,Image,"IMAGE19","image_19",""
36,Text,"PARAGRAPH10","invitation_text","TRÂN TRỌNG KÍNH MỜI"
37,Text,"HEADLINE21","invitation_text_2","TRÂN TRỌNG KÍNH MỜI"
38,Text,"HEADLINE8","and_text","Bạn và Người Thương"
39,Text,"PARAGRAPH12","and_text_2","Bạn và Người Thương"
40,Text,"PARAGRAPH14","event_time","Thời Gian Tổ Chức Vào Hồi, 10 Giờ 30"
41,Text,"PARAGRAPH15","event_month","THÁNG"
42,Text,"PARAGRAPH17","event_month_2","THÁNG"
43,Text,"PARAGRAPH19","bride_family_2","Tư Gia Nhà Gái"
44,Text,"PARAGRAPH68","text_68","Sự hiện diện của bạn là niềm vinh hạnh của chúng mình!"
45,Text,"PARAGRAPH18","text_18","Sự hiện diện của bạn là niềm vinh hạnh của chúng mình!"
46,Text,"PARAGRAPH78","text_78","Sự hiện diện của bạn là niềm vinh hạnh của chúng mình!"
47,Text,"GROUP80","groom_family_5","NHÀ TRAI"
48,Text,"LINE29","groom_family_6","NHÀ TRAI"
49,Text,"LINE30","groom_family_7","NHÀ TRAI"
50,Text,"PARAGRAPH80","groom_family_8","NHÀ TRAI"
51,Text,"PARAGRAPH81","groom_family_9","NHÀ TRAI"
52,Text,"GROUP99","bride_family_3","NHÀ GÁI"
53,Image,"IMAGE74","image_74",""
54,Image,"IMAGE75","image_75",""
55,Text,"PARAGRAPH82","invitation_text_3","TRÂN TRỌNG KÍNH MỜI"
56,Text,"HEADLINE19","invitation_text_4","TRÂN TRỌNG KÍNH MỜI"
57,Text,"HEADLINE20","and_text_3","Bạn và Người Thương"
58,Text,"PARAGRAPH83","and_text_4","Bạn và Người Thương"
59,Text,"PARAGRAPH84","event_time_2","Thời Gian Tổ Chức Vào Hồi, 11 Giờ 30"
60,Text,"PARAGRAPH85","event_month_3","THÁNG"
61,Text,"PARAGRAPH86","event_month_4","THÁNG"
62,Text,"PARAGRAPH87","restaurant_name","Nhà Hàng Riverside Palace"
63,Text,"PARAGRAPH88","text_88","Sự hiện diện của bạn là niềm vinh hạnh của chúng mình!"
64,Text,"PARAGRAPH89","text_89","Sự hiện diện của bạn là niềm vinh hạnh của chúng mình!"
65,Image,"IMAGE20","image_20",""
66,Image,"IMAGE25","image_25",""
67,Text,"BUTTON4","groom_family_10","Thiệp mời nhà Trai"
68,Text,"BUTTON_TEXT4","groom_family_11","Thiệp mời nhà Trai"
69,Text,"BUTTON5","groom_family_12","Thiệp mời nhà Trai"
70,Text,"BUTTON_TEXT5","groom_family_13","Thiệp mời nhà Trai"
71,Text,"BUTTON6","groom_family_14","Thiệp mời nhà Trai"
72,Text,"BUTTON_TEXT6","groom_family_15","Thiệp mời nhà Trai"
73,Text,"BUTTON7","bride_family_4","Thiệp mời nhà Gái"
74,Text,"BUTTON_TEXT7","bride_family_5","Thiệp mời nhà Gái"
75,Text,"SECTION4","bride_family_6","Thiệp mời nhà Gái"
76,Text,"GROUP21","bride_family_7","Thiệp mời nhà Gái"
77,Text,"PARAGRAPH20","love_text","CÂU CHUYỆN TÌNH YÊU"
78,Text,"PARAGRAPH21","love_text_2","CÂU CHUYỆN TÌNH YÊU"
79,Image,"IMAGE27","image_27",""
80,Image,"IMAGE28","image_28",""
81,Image,"IMAGE29","image_29",""
82,Image,"IMAGE32","image_32",""
83,Text,"PARAGRAPH27","text_27","Mãi Bên Nhau Nhé"
84,Text,"PARAGRAPH28","text_28","Mãi Bên Nhau Nhé"
85,Image,"IMAGE37","image_37",""
86,Image,"IMAGE31","image_31",""
87,Text,"PARAGRAPH25","text_25","Hành Trình Bên Nhau"
88,Text,"PARAGRAPH26","text_26","Hành Trình Bên Nhau"
89,Image,"IMAGE35","image_35",""
90,Image,"IMAGE26","image_26",""
91,Text,"PARAGRAPH22","text_22","Lần Đầu Gặp Gỡ"
92,Text,"PARAGRAPH23","text_23","Lần Đầu Gặp Gỡ"
93,Image,"IMAGE36","image_36",""
94,Text,"GROUP53","text_group53",""
95,Text,"GROUP55","text_group55",""
96,Text,"BOX23","text_box23",""
97,Text,"SHAPE7","text_shape7",""
98,Text,"GROUP56","text_group56",""
99,Text,"PARAGRAPH29","text_29","KHOẢNH KHẮC ĐẸP NHẤT"
100,Text,"PARAGRAPH30","text_30","KHOẢNH KHẮC ĐẸP NHẤT"
101,Image,"IMAGE38","image_38",""
102,Image,"IMAGE39","image_39",""
103,Image,"IMAGE68","image_68",""
104,Image,"IMAGE69","image_69",""
105,Image,"IMAGE43","image_43",""
106,Image,"IMAGE44","image_44",""
107,Text,"GROUP61","view_button","XEM THÊM"
108,Text,"HEADLINE17","view_button_2","XEM THÊM"
109,Text,"SHAPE10","view_button_3","XEM THÊM"
110,Text,"PARAGRAPH31","text_31","SỰ KIỆN QUAN TRỌNG"
111,Text,"PARAGRAPH32","text_32","SỰ KIỆN QUAN TRỌNG"
112,Image,"IMAGE47","image_47",""
113,Text,"PARAGRAPH33","text_33","Lễ Ăn Hỏi"
114,Text,"PARAGRAPH34","text_34","Lễ Ăn Hỏi"
115,Text,"PARAGRAPH70","event_date_2","Thứ 5, Ngày 26 tháng 09 năm 2024"
116,Text,"GROUP66","bride_family_8","Tư Gia Nhà Gái"
117,Text,"GROUP62","bride_family_9","Tư Gia Nhà Gái"
118,Image,"IMAGE48","image_48",""
119,Text,"GROUP26","vu_quy_ceremony","LỄ VU QUY"
120,Text,"PARAGRAPH35","vu_quy_ceremony_2","LỄ VU QUY"
121,Text,"PARAGRAPH36","vu_quy_ceremony_3","LỄ VU QUY"
122,Text,"PARAGRAPH71","event_date_3","Chủ Nhật, Ngày 13 tháng 07 năm 2025"
123,Text,"GROUP67","bride_family_10","Tư Gia Nhà Gái"
124,Text,"GROUP64","bride_family_11","Tư Gia Nhà Gái"
125,Image,"IMAGE49","image_49",""
126,Text,"PARAGRAPH37","marriage_ceremony","LỄ THÀNH HÔN"
127,Text,"PARAGRAPH38","marriage_ceremony_2","LỄ THÀNH HÔN"
128,Text,"PARAGRAPH72","event_date_4","&nbsp;Chủ Nhật, Ngày 20 tháng 07 năm 2025"
129,Text,"GROUP41","restaurant_name_2","Nhà Hàng Riverside Palace"
130,Image,"IMAGE50","image_50",""
131,Image,"IMAGE63","image_63",""
132,Image,"IMAGE64","image_64",""
133,Image,"IMAGE65","image_65",""
134,Text,"PARAGRAPH45","text_45","BẠN SẼ ĐẾN CHỨ?"
135,Text,"PARAGRAPH46","text_46","BẠN SẼ ĐẾN CHỨ?"
136,Text,"GROUP30","send_button","Gửi đi"
137,Text,"FORM2","send_button_2","Gửi đi"
138,Text,"687876a9227d8a0013a24b96","send_button_3","Gửi đi"
139,Text,"BUTTON3","send_button_4","Gửi đi"
140,Text,"BUTTON_TEXT3","send_button_5","Gửi đi"
